No	TELEX	QNC	CHUNOM	ENG
5142	daans	dấn		to embart; to throw oneself; to plunge headlong
5143	daans buwowcs	dấn bước	？𨀈	Strive to work quicker
5144	daans thaanz	dấn thân		xem dấn nghĩa 2
5145	daans voons	dấn vốn		(khẩu ngữ) Capital, funds
5146	daanx	dẫn	引	to conduct; to guide; to escort to lead
5147	daanx chuwngs	dẫn chứng	引證	to cite; to adduce; to quete
5148	daanx cuwowis	dẫn cưới	引？	Bring wedding offerings (according to traditional rituals) to the bridés
5149	daanx daauf	dẫn dầu	引？	to lead; to come foremost
5150	daanx dawts	dẫn dắt	引？	Guide, conduct, lead up to, direct
5151	daanx ddaauf	dẫn đầu	引頭	March in the van, take the lead, lead
5152	daanx ddieenj	dẫn điện	引電	to conduct electricity
5153	daanx ddooj	dẫn độ	引渡	(ngoại giao) Extradict
5154	daanx ddooz	dẫn đô	引？	to extradite
5155	daanx dduwowngf	dẫn đường	引塘	Show (direct) the way
5156	daanx duj	dẫn dụ	引誘	(cũ; ít dùng) Induce (someone) to take one's advice
5157	daanx giair	dẫn giải	引解	Gloss, insert glosses in
5158	daanx hoar	dẫn hỏa	引火	Inflammable [and fine | kindling]
5159	daanx nhieetj	dẫn nhiệt	引熱	to conduct heat
5160	daanx thuyr nhaapj ddieenf	dẫn thủy nhập điền	引水入田	to irrigate
5161	daanx xacs	dẫn xác	引？	(thông tục) (cũng nói dẫn thần xác) Show up, show one's face
5162	daanx xuaats	dẫn xuất	引出	(hóa học) Derivative
5163	daanz	dân	民	people; citizen
5164	daanz bepj	dân bẹp	民？	Opium ađict
5165	daanz bieeur	dân biểu	民表	people's representative
5166	daanz binhz	dân binh	民兵	(cũ) Militia
5167	daanz cayf	dân cày	民𦓿	(cũ) Tiller
5168	daanz caz	dân ca	民歌	Folk | song | Folk | songs can be sung at home, at communal house or on hill..., depending on solo performance, repartee... They are transmitted from generation to generation, loved and preserved by the people. Folk | songs can belong to the localities or the ethnic minorities... Dan ca Quan Ho (Quan Ho folk | songs) originated in Hà Bắc province. During village festivals which are held every year, particularly in spring, young, men and women gather in the yard of a communal house or pagoda, on a hill or in a rowing boat and sing Quan Họ This is a style of singing where songs alternate from group to group, going back and forth from one to the other. Quan Ho singing is a folk art of highly collective nature. Those who sing are not entertainers, but all are part of the performance, and everyone is welcome to join
5169	daanz chaif	dân chài	民？	Fisherman
5170	daanz chinhs	dân chính	民政	Civil administration
5171	daanz chungs	dân chúng	民眾	people; country
5172	daanz chur	dân chủ	民主	democratic
5173	daanz chur hoas	dân chủ hóa	民主化	Democratize
5174	daanz coongz	dân công	民工	Conscripted labourer
5175	daanz cuwr	dân cử	民舉	People | elected, elective
5176	daanz cuwz	dân cư	民居	population; inhabitants
5177	daanz daans	dân dấn		Moisten the eyes
5178	daanz dax	dân dã	民野	(ít dùng) Rural people
5179	daanz ddenz	dân đen	民黰	(cũ) Mob, rabbel, common run of the people
5180	daanz doanhz	dân doanh	民營	(ít dùng) như tư doanh
5181	daanz dungj	dân dụng	民用	civil
5182	daanz gianz	dân gian	民間	Broad masses (of the people) | Popular, folk
5183	daanz laapj	dân lập	民立	People founded
5184	daanz langf	dân làng	民？	Villager
5185	daanz luaatj	dân luật	民律	civil law
5186	daanz ngheof	dân nghèo	民𠨪	the poor. Dân nghèo thành thị The poor of a city
5187	daanz nguyeenj	dân nguyện	民願	(cũ) People's aspirations
5188	daanz phongf	dân phòng	民房	Civil defence
5189	daanz phongz	dân phong	民風	Popular customs
5190	daanz quaanz	dân quân	民軍	militiaman
5191	daanz queez	dân quê	民圭	country | folk; peasant
5192	daanz quoocs	dân quốc	民國	(cũ, ít dùng) Democracy (bourgeois)
5193	daanz quyeenf	dân quyền	民權	civic rights
5194	daanz sinhz	dân sinh	民生	livelihood of the people
5195	daanz soos	dân số	民数	Population
5196	daanz suwj	dân sự	民事	civilian
5197	daanz taamz	dân tâm	民心	People's will ; people's hearts
5198	daanz thaayf	dân thầy	民偨	(cũ) White collar workers
5199	daanz thowj	dân thợ	民𠏲	(cũ) Workman
5200	daanz thuwowngf	dân thường	民常	the rand and file, the man in the street | Civilian (as opposite to soldiers)
5201	daanz tij nanj	dân tị nạn	民避難	refugee
5202	daanz tinhf	dân tình	民情	(cũ; ít dùng) People's lot, popular feeling
5203	daanz toocj	dân tộc	民族	Nation, race | Nationality, ethnic group
5204	daanz toocj chur nghiax	dân tộc chủ nghĩa	民族主義	Nationalist, nationalistic
5205	daanz toocj hoas	dân tộc hoá	民族化	Nationalize
5206	daanz toocj hocj	dân tộc học	民族學	ethnography; ethnology
5207	daanz toocj tinhs	dân tộc tính	民族性	National character
5208	daanz tris	dân trí	民智	(cũ) People's cultural standard
5209	daanz tuys	dân túy	民粹	Populist
5210	daanz vaanj	dân vận	民運	propaganda with the population
5211	daanz veej	dân vệ	民衛	(cũ) The people's self | defence corps (của chính quyền Miền Nam
5212	daanz ys	dân ý	民意	People's will
5213	daanz yz	dân y	民醫	Civil medical service (as opposiste to army medical service)
5214	daapj	dập		to bury; to stam out; to bang; to batter
5215	daapj deenhf	dập dềnh		bob
5216	daapj diuf	dập dìu		to flit about; to go in great numbers
5217	daapj tawts	dập tắt	？𤎕	Stamp out
5218	daapj vuif	dập vùi		như vùi dập
5219	daaps	dấp		to wet
5220	daaps daz daaps dinhs	dấp da dấp dính		xem dấp dính (láy)
5221	daaps dinhs	dấp dính		(ít dùng) | Slimily wet. | (nói về mắt) Half | closed (as if the upper and lower eyelids nearly stuck together) | Drawling (words into one another)
5222	daaps giongj	dấp giọng	？喠	xem nhấp giọng
5223	daatj	dật	逸|溢	to live in retirement
5224	daatj ducj	dật dục	逸欲	senmal
5225	daatj sis	dật sí	逸士	(cũ) Self secliding scholar, recluse scholar
5226	daatj six	dật sĩ	逸士	retired scholar
5227	daatj suwr	dật sử	逸史	missing history
5228	daauf	dầu	油	oil | though; although; even if; however
5229	daauf awnz	dầu ăn	油咹	Table oil
5230	daauf caoz	dầu cao	油高	cũng nói dầu cù là, dầu con hổ Balm
5231	daauf cas	dầu cá	油𩵜	fish | oil
5232	daauf conz hoor	dầu con hổ	油𡥵虎	xem dầu cao
5233	daauf cuf laf	dầu cù là	油？？	xem dầu cao
5234	daauf daix	dầu dãi	油？	xem dãi dầu
5235	daauf hawcs	dầu hắc	油黑	tar
5236	daauf hoar	dầu hỏa	油火	kerosene, petro leum
5237	daauf hooiz	dầu hôi	油灰	(địa phương) như dầu hỏa
5238	daauf khis	dầu khí	油汽	Petroleum and gas complex
5239	daauf longf	dầu lòng	？𢚸	(cũ) At will,as one pleases. | (cũ, ít dùng) Tak the trouble
5240	daauf mor	dầu mỏ	油𡎡	mineral | oil
5241	daauf mowx	dầu mỡ	油𦟖	Lubricant
5242	daauf nhownf	dầu nhờn	油？	Lubricant
5243	daauf phongj	dầu phọng	油？	peanut | oil
5244	daauf saoz	dầu sao	油𡫡	như dù sao
5245	daauf taayz	dầu tây	油西	(địa phương) Kerosene
5246	daauf taz	dầu ta	油些	Vegetal oil (formerly used as a fuel in lamps)
5247	daauf thanhs	dầu thánh	油聖	Holy oil
5248	daauf thowmz	dầu thơm	油𦹳	perfume; scent
5249	daauf thuwcj vaatj	dầu thực vật	油植物	vegetable oil
5250	daauf vaayj	dầu vậy	油？	For all that
5251	daauf xawngz	dầu xăng	油？	như xăng
5252	daauj	dậu	酉	The tenth Earthly Branch (symbolized by the cock)
5253	daaus	dấu	𧿫|𨣥	mark; sign; print. fingerprint | Trace; track | Stamp; seal
5254	daaus aans	dấu ấn	𧿫印	stamp
5255	daaus chaams	dấu chấm	𧿫𤖸	full stop
5256	daaus chaams phaayr	dấu chấm phẩy	𧿫𤖸？	semi | colon
5257	daaus chaams thanz	dấu chấm than	𧿫𤖸？	exclamation mark
5258	daaus chaanz	dấu chân	𧿫蹎	footprint ; footmark
5259	daaus coongj	dấu cộng	𧿫共	plus sign
5260	daaus gachj ngangz	dấu gạch ngang	𧿫？昻	Dash
5261	daaus gachj noois	dấu gạch nối	𧿫？𦀼	Hyphen
5262	daaus giangs	dấu giáng	𧿫降	(âm nhạc) Flat
5263	daaus haiz chaams	dấu hai chấm	𧿫𠄩𤖸	Colon
5264	daaus hieeuj	dấu hiệu	𧿫號	sign; symtom; token | Badge; signal
5265	daaus hoaz thij	dấu hoa thị	𧿫花示	Asterik
5266	daaus hoir	dấu hỏi	𧿫𠳨	xem chấm hỏi | Falling accent
5267	daaus huyeenf	dấu huyền	𧿫玄	Grave accent
5268	daaus lawnz tayz	dấu lăn tay	𧿫？𢬣	Fingerprints
5269	daaus luwowcj	dấu lược	𧿫略	Apostrophe
5270	daaus mux	dấu mũ	𧿫𢃱	Circumflex accent
5271	daaus nawngj	dấu nặng	𧿫𥘀	drop tone
5272	daaus ngax	dấu ngã	𧿫𨁟	tilde; rising accent
5273	daaus ngoawcj	dấu ngoặc	𧿫？	parenthesis
5274	daaus ngoawcj ddownz	dấu ngoặc đơn	𧿫？？	xem ngoặc đơn
5275	daaus ngoawcj keps	dấu ngoặc kép	𧿫？？	xem ngoặc kép
5276	daaus ngoawcj vuoongz	dấu ngoặc vuông	𧿫？？	square brackets
5277	daaus nieemz	dấu niêm	𧿫黏	Seal
5278	daaus noois	dấu nối	𧿫𦀼	Hyphen
5279	daaus phaayr	dấu phẩy	𧿫？	comma
5280	daaus sawcs	dấu sắc	𧿫？	acute accent; high tone
5281	daaus tayz	dấu tay	𧿫𢬣	finger | print
5282	daaus thanhs	dấu thánh	𧿫聖	Sign of the cross
5283	daaus thanhs gias	dấu thánh giá	𧿫聖架	sign of the cross
5284	daaus thanz	dấu than	𧿫？	xem chấm than
5285	daaus thawngz	dấu thăng	𧿫升	Sharp
5286	daaus thij thuwcj	dấu thị thực	𧿫視實	Visa
5287	daaus tichs	dấu tích	𧿫跡	(ít dùng) Vestige
5288	daaus veets	dấu vết	𧿫？	trace; vestige
5289	daaux	dẫu		như dù
5290	daaux rawngf	dẫu rằng		như dù rằng
5291	daaux saoz	dẫu sao	？𡫡	như dù sao
5292	daauz	dâu	妯	(Bot) mulberry. bride; daughter | in | law; son's wife
5293	daauz beer	dâu bể		xem bể dâu
5294	daauz caoz suz	dâu cao su	？caoutchouc	elastic
5295	daauz conz	dâu con	妯𡥵	(khẩu ngữ) Daughter in law and daughter (nói khái quát)
5296	daauz giaz	dâu gia	妯家	ally; related family
5297	daauz ruwowuj	dâu rượu	？𨢇	xem dâu nghĩa 2
5299	daauz tawmf	dâu tằm		xem dâu nghĩa 1
5300	daayj	dậy	𧻭	to rise; to get up; to wake up
5301	daayj ddaats	dậy đất	𧻭𡐙	Resounding (nói về tiếng reọ..)
5302	daayj menz	dậy men	𧻭？	to ferment
5303	daayj muif	dậy mùi	𧻭？	Smelling, stinking
5304	daayj thif	dậy thì	𧻭𪰛	pubecent; puberal
5305	daays	dấy	跩	to raise; to rise up
5306	daays binhz	dấy binh	跩兵	to raise croops
5307	daays loanj	dấy loạn	跩亂	to revolt; to rebel
5308	daays nghiax	dấy nghĩa	跩義	(cũ) Raise the Great Cause banner
5309	daays quaanz	dấy quân	跩軍	cũng nói dấy binh Raise troops
5310	daayx duaj	dẫy dụa		anh ta hết sức dẫy dụa | He fought like a wild cat
5311	daayz	dây	𦀊	rope; cord; wire; string
5312	daayz bocj	dây bọc	𦀊？	Insulated electric wire
5313	daayz caauz	dây câu	𦀊？	Fishing | line
5314	daayz caps	dây cáp	𦀊？	cable
5315	daayz chawngf	dây chằng	𦀊？	Ligament
5316	daayz chunz	dây chun	𦀊？	Elastic
5317	daayz chuyeenf	dây chuyền	𦀊？	danh từ. chain
5318	daayz cots	dây cót	𦀊？	như cót
5319	daayz cungz	dây cung	𦀊弓	Bowstring. | (toán học) Chord
5320	daayz cuwowngz	dây cương	𦀊？	bridle
5321	daayz daanx	dây dẫn	𦀊引	(điện) Conductor wire, conducting | wire
5322	daayz ddaats	dây đất	𦀊𡐙	(radio) Ground
5323	daayz ddieenj	dây điện	𦀊電	Electric wive
5324	daayz doij	dây dọi	𦀊？	Plumb | line
5325	daayz dowj	dây dợ	𦀊？	Cord and string (nói khái quát)
5326	daayz duwaz	dây dưa	𦀊𧃋	to drag on; to drag out
5327	daayz giayf	dây giày	𦀊𨃐	shoe | lace; shoe | string
5328	daayz kemx gaiz	dây kẽm gai	𦀊？荄	barbed wire
5329	daayz leoz	dây leo	𦀊？	(bot) liana; creeper
5330	daayz luwngz	dây lưng	𦀊𨉞	belt; waistband
5331	daayz muix	dây mũi	𦀊𪖫	Neat's lead (tied to the nose)
5332	daayz muwcj	dây mực	𦀊？	chalk line
5333	daayz nois	dây nói	𦀊呐	telephone
5334	daayz oanz	dây oan	𦀊怨	(văn chương, cũ) Ties of misfortune
5335	daayz phowiz	dây phơi	𦀊？	Clothes | line
5336	daayz soongs	dây sống	𦀊𤯩	(sinh vật) Notochord | Chordata
5337	daauz taayz	dâu tây	？西	strawberry
5338	daayz theps	dây thép	𦀊？	(cũ) như bưu điện | Iron wire
5339	daayz theps gaiz	dây thép gai	𦀊？荄	Barbed wire
5340	daayz tocs	dây tóc	𦀊𩯀	Hairspring
5341	daayz towz hoongf	dây tơ hồng	𦀊緦紅	(thực vật) Dođer | Marriage ties
5342	daayz xichs	dây xích	𦀊？	chain
5343	daif	dài	𨱽	long
5344	daif dongf	dài dòng	𨱽𣳔	prolix; diffuse; lengthy
5345	daij	dại		stupid; gatuous, wild, feral
5346	daij dootj	dại dột		foolish; stupid
5347	dair	dải		band; range
5348	dair ddaats	dải đất	？𡐙	belt of land
5349	dais	dái		penis
5350	daix	dãi		saliva
5351	daiz	dai		tough; leathery | Persistent; tenacious
5352	daiz dawngr	dai dẳng		prawn | out; long lasting
5353	daj	dạ	夜	từ cảm | Yes ; please | felt | Heart; mind
5354	daj dayf	dạ dày	胣𠫅	stomach
5355	daj hooij	dạ hội	夜會	evening party
5356	daj quangz	dạ quang	夜光	fire | fly; glow | worm
5357	daj vux	dạ vũ	夜雨	nocturnal rain
5358	daj yeens	dạ yến	夜宴	night feast
5359	damj	dạm		to offer ; to propose
5360	damj bans	dạm bán	？𧸝	to offer for sale
5361	damj vowj	dạm vợ	？𡞕	to offer marriage,dan to extend
5362	dams	dám		to dare; to be bold erought tọ
5363	danf	dàn		to display; to arrange
5364	danf canhr	dàn cảnh		to stage
5365	danf hoaf	dàn hòa		to couciliate; to mediate
5366	danf xeeps	dàn xếp		to settle; to arrange
5367	dangj	dạng	樣|漾	form; shape
5368	dangs	dáng	𠍵	gait; air ; shape
5369	dangs ddieeuj	dáng điệu	𠍵調	air; appearance; manner
5370	dangz	dang		to extend; to open wide ; to spread out
5371	dangz dowr	dang dở		unfinished; uncompleted
5372	danhf	dành		to save; to reserve; to engage
5373	danhf danhf	dành dành		(bot) gardenia
5374	danhf dumj	dành dụm		Save every bit of (money)
5375	danhf giaatj	dành giật	？𪮞	to cramble for
5376	danhf rieengz	dành riêng		Reserved
5377	danhr	dảnh		Unit of rice seedling (about to be transplanted)
5378	danhz	danh	名	name; fame; reputation
5379	danhz duwj	danh dự	名譽	honnour
5380	danhz hieeuj	danh hiệu	名號	honourable name; signification
5381	danhz lamz	danh lam	名嵐	famous pagoda
5382	danhz lowij	danh lợi	名利	fame and wealth
5383	danhz mucj	danh mục	名目	list; nomenclature
5384	danhz nghiax	danh nghĩa	名義	name; title
5385	danhz ngoonz	danh ngôn	名言	famous saying; apophthgan
5386	danhz phaamr	danh phẩm	名品	famous literaty work
5387	danhz phaanj	danh phận	名分	Honour and position; attribution
5388	danhz sachs	danh sách	名冊	roll; roster; namlist
5389	danhz thieeps	danh thiếp	名帖	visiting | card
5390	danhz tuwf	danh từ	名詞	noun;
5391	danhz vongj	danh vọng	名望	glory; celebrity; reputation
5392	danj	dạn		daring; bold; inured to
5393	danj mawtj	dạn mặt	？𩈘	brazen; shameless
5394	dans	dán		to paste; to stick; to glue
5395	danz dius	dan díu		to have an affair with; to be inlove with someone
5396	daof	dào	𤁓	Overflow, overbrim, boil over | (khẩu ngữ) như dà
5397	daof datj	dào dạt	𤁓？	xem dạt dào
5398	daoj	dạo	𨄹	time; period | to stroll; to take a walk
5399	daoj aays	dạo ấy	𨄹𧘇	at that period; at that time
5400	daoj buwowcs	dạo bước	𨄹𨀈	Have (go for) a stroll
5401	daoj gots	dạo gót	𨄹𨃴	(văn chương) Bend one's step towards.dạo mát | Take a stroll for fresh air ; take the air
5402	daoz	dao	搖|瑤	knife. bowie knife
5403	daoz awnz	dao ăn	釖咹	Table | knife
5404	daoz baauf	dao bầu	釖𤃛	Chopper, sticker, sticking knife
5405	daoz baif	dao bài	釖牌	Card | shaped knife
5406	daoz baof	dao bào	釖刨	Safety razor
5407	daoz caauf	dao cầu	釖球	Medicinal root slicer, apothercary's chopper
5408	daoz caoj	dao cạo	釖？	razor
5409	daoz cauz	dao cau	釖？	Little card | shaped knife [for cutting areca | nuts]
5410	daoz cayf	dao cày	釖𦓿	Coulter
5411	daoz ddoongj	dao động	搖動	to oscillate; to agitate; to swing
5412	daoz gawmz	dao găm	釖？	dagger; poniard;
5413	daoz moor	dao mổ	釖𠝺	lancet; bistoury
5414	daoz ngoonz	dao ngôn	謠言	Rumour
5415	daoz nhips	dao nhíp	釖？	Penknife, pocket | knife
5416	daoz phayz	dao phay	釖？	Chopping | knife
5417	daoz phaz	dao pha	釖？	All | purpose knife
5418	daoz quawms	dao quắm	釖？	Bush | whacker
5419	daoz ruwaj	dao rựa	釖？	Cleaver, jungle | knife
5420	daoz xeeps	dao xếp	釖？	claop | knife; jack | knife
5421	datj	dạt		to drift; to be driven
5422	datj daof	dạt dào	？𤁓	cũng nói dào dạt Overflow, overbrim
5423	dats	dát		to laminate; to make thinner | to inlay
5424	dauf dauf	dàu dàu		Withered | Down in the mouth, gloomy
5425	dawcj dawcj	dặc dặc		(cũ, ít dùng) như dằng dặc
5426	dawmf	dằm		splinter
5427	dawmj	dặm	𨤮	mile; road | to paint in water colours
5428	dawmj hoongf	dặm hồng	𨤮紅	(văn chương, cũ) Rosy road (full of dirt)
5429	dawmj khowiz	dặm khơi	𨤮𣾺	(văn chương, cũ) Long sea voyage
5430	dawmj lieeux	dặm liễu	𨤮柳	(văn chương, cũ) Long way
5431	dawmj nghinf	dặm nghìn	𨤮𠦳	như dặm ngàn
5432	dawmj phaanf	dặm phần	𨤮枌	(văn chương, cũ) The road back home
5433	dawmj truwowngf	dặm trường	𨤮長	long way; longjourney
5434	dawmz	dăm		
5435	dawnf	dằn		to slap down; to lay down
5436	dawnf dooix	dằn dỗi	？𢤡	Sulk, be sulky
5437	dawnf longf	dằn lòng	？𢚸	to hold oneself in
5438	dawnf mawtj	dằn mặt	？𩈘	Forewarn (against opposition or resistanse)
5439	dawngf	dằng		to pull; to drag out
5440	dawngf coz	dằng co	？𢮩	to pull about
5441	dawngf daiz	dằng dai		Dragging on
5442	dawngf dawcj	dằng dặc		endless; interminable
5443	dawngj hawngs	dặng hắng		cũng nói đằng hắng Clear the throat, hawk
5444	dawngz	dăng	蠅	xem giăng
5445	dawnj	dặn	𠸕	to advise; to recommend
5446	dawnj baor	dặn bảo	𠸕𠸒	to advise; to counsel; to give recommendations
5447	dawnj dof	dặn dò	𠸕？	Make careful recommendations tọ
5448	dawnz	dăn		(địa phương) xem nhăn
5449	dawnz deoz	dăn deo		(địa phương) xem nhăn nheo
5450	dawnz dums	dăn dúm		(địa phương) xem nhăn nhúm
5451	dawtj	dặt		Gram, lightly
5452	dawtj diuf	dặt dìu		xem dìu dặt
5453	dawts	dắt		to lead; to tow; to guide
5454	dawts bongs	dắt bóng	？𫕰	(thể thao) Dribble
5455	dawts daanx	dắt dẫn		Guide
5456	dawts daayz	dắt dây		Lead tọ
5457	dawts dius	dắt díu		to go together
5458	dawts gais	dắt gái	？𡛔	Pander
5459	dawts muix	dắt mũi	？𪖫	Lead (somebody) by the nose
5460	dax	dã	也|冶|野	wild; savage. rustic | to neutralize the effect of (aleohol...)
5461	dax caamf	dã cầm	野禽	wild birds
5462	dax chieens	dã chiến	野戰	field combat
5463	dax duwowij	dã dượi		tired; worn out
5464	dax manz	dã man	野蠻	savage; barbarous
5465	dax nhaanz	dã nhân	野人	rustic; gorilla
5466	dax taamz	dã tâm	野心	wicked intention; bad ambition
5467	dax thus	dã thú	野獸	wild beast
5468	dax trangf	dã tràng	野？	sandcrab
5469	dayf	dày	𠫅	thick; deep; dense | Cloze
5470	dayf coomj	dày cộm	𠫅？	Thick and coarse
5471	dayf coongz	dày công	𠫅功	Take great pains
5472	dayf danj	dày dạn	𠫅？	cũng nói dạn dày Inured to (hardships, difficulties...)
5473	dayf dawnj	dày dặn	𠫅？	Thick and densely made | up
5474	dayf ddawcj	dày đặc	𠫅？	dense
5475	dayj	dạy	𠰺	to teach; to train; to educate
5476	dayj baor	dạy bảo	𠰺𠸒	to rear; to elevate; to bring up
5477	dayj ddowif	dạy đời	𠰺𠁀	(khẩu ngữ) Speak in a superior tone, speak with a superior air, talk like a Dutch uncle
5478	dayj doox	dạy dỗ	𠰺𠴗	Teach affectionnately, admonish affectionately (young people)
5479	dayj hocj	dạy học	𠰺學	Teach (at a school...)
5480	dayj keez	dạy kê	𠰺？	Teach a hight class (than the one is qualified for)
5481	dayj kemf	dạy kèm	𠰺？	Tutor
5482	dayj khoonz	dạy khôn	𠰺？	Teach one's grandmother to suck eggs
5483	dayj tuwz	dạy tư	𠰺私	to teach privately, to turtor
5484	dayr	dảy		(ít dùng) Push
5485	dayx	dãy		chain; row; line
5486	dayz	day		to turn | To face; to front
5487	dayz duwts	day dứt		Harass
5488	daz	da	䏧	(Bot) banyan | tree skin; derm | Hide; leather; pelt
5489	daz bocj quiz ddaauf	da bọc qui đầu	䏧？龜頭	(anat) Foreskin
5490	daz camz	da cam	䏧柑	orange skin
5491	daz chez mawts nguwaj	da che mắt ngựa	䏧𩂏眜馭	blinder
5492	daz der	da dẻ	䏧？	skin; complexion
5493	daz dieets	da diết	䏧？	grawing; tormenting
5494	daz langs	da láng	䏧？	patent; enamelled
5495	daz lieeux	da liễu	䏧？	skin and venereal diseases
5496	daz mooif	da mồi	䏧？	wrinkled skin
5497	daz nguwowif	da người	䏧𠊛	human skin
5498	daz thitj	da thịt	䏧𦧘	skin and flesh
5499	daz thuoocj	da thuộc	䏧？	leather ; prepared hide
5500	ddaamf	đầm		the pond rammer
5501	ddaamf aams	đầm ấm	？廕	happy; sweet
5502	ddaamf ddiaf	đầm đìa		Soaked through. Dripping wet
5503	ddaamf laayf	đầm lầy		marssh; bog
5504	ddaamj	đậm		dark; deep (colour) strong (tea, coffee) heavy, fat
5505	ddaamj ddaf	đậm đà		warm; charming
5506	ddaamj ddawcj	đậm đặc		Concentrated, strong(of a solution...)
5507	ddaamj nets	đậm nét		Bold
5508	ddaams	đấm		to punch; to stricke hard with the fist
5509	ddaams bops	đấm bóp	？𢯒	to massage
5510	ddaams ddas	đấm đá	？跢	Come to blows
5511	ddaams hongj	đấm họng		cũng nói đấm mõm Give a sop to (somebody)
5512	ddaams momx	đấm mõm		(thông tục) như đấm họng
5513	ddaamx	đẫm		wet
5514	ddaamx maus	đẫm máu	？𧖱	Blood | stained | Bloody, saguinary
5515	ddaamz	đâm		To stab, to thrust | To put forth (buds) | To shoot, to dart | To pound | To turn, to become, to grow, to go
5516	ddaamz boongz	đâm bông	？葻	(thực vật) Flower, bloom
5517	ddaamz boor	đâm bổ		Make a high dive, nosedive | Rush out
5518	ddaamz chooif	đâm chồi		(thực vật) Bud
5519	ddaamz ddaauf	đâm đầu		Rush headlong | Move heaven and earth and do something one cannot held | Have to take the road
5520	ddaamz hoongz	đâm hông		Pinprick, nettle
5521	ddaamz lieeuf	đâm liều		to become bold
5522	ddaamz raz	đâm ra	？𠚢	Turn (bad...)
5523	ddaamz saamf	đâm sầm		Crash against
5524	ddaanf	đần		silly; stupid
5525	ddaanf ddoonj	đần độn		dull,unintellegent
5526	ddaangs	đấng		used to in front of names denoting talented or famous people)
5527	ddaapj	đập		dam; barrage | to beat; to threash; to smash
5528	ddaapj laij	đập lại	？吏	Retort; counter | attack
5529	ddaapj tanz	đập tan	？潵	Shatter, defeat completely dispose of devastingly
5530	ddaapj tranf	đập tràn		Spillway
5531	ddaapj vowx	đập vỡ		Shatter, break up, smash
5532	ddaats	đất	𡐙	earth; soil; land; ground
5533	ddaats baix	đất bãi	𡐙𡓁	Alluvial land (on river banks or seashores)
5534	ddaats booif	đất bồi	𡐙？	alluvial deposits
5535	ddaats cats	đất cát	𡐙？	Sandy soil, sandy land | Cultivable land (nói khái quát)
5536	ddaats hieems	đất hiếm	𡐙？	(hóa học) Race earth
5537	ddaats hoangz	đất hoang	𡐙荒	Fallow, waste land
5538	ddaats huwas	đất hứa	𡐙？	Promised land
5539	ddaats khachs	đất khách	𡐙？	Strange land, foreign land
5540	ddaats lieenf	đất liền	𡐙？	mainland; continent
5541	ddaats mauf	đất màu	𡐙牟	Rich soil
5542	ddaats munf	đất mùn	𡐙？	Humus
5543	ddaats nawngj	đất nặng	𡐙𥘀	Heavy soil
5544	ddaats nhej	đất nhẹ	𡐙？	Light soil
5545	ddaats nungz	đất nung	𡐙？	Terra | cotta
5546	ddaats nuwowcs	đất nước	𡐙渃	Home country, homeland
5547	ddaats sets	đất sét	𡐙𡏥	Clay
5548	ddaats suws	đất sứ	𡐙？	Kaolin
5549	ddaauf	đầu	頭|投	head
5550	ddaauf beeps	đầu bếp	頭𤇮	chef
5551	ddaauf bof	đầu bò	頭𤙭	Pig | headed, stubborn
5552	ddaauf caauf	đầu cầu	頭梂	(quân ddo^.i) Bridge | head
5553	ddaauf canhs	đầu cánh	頭𦑃	Seat on the right hand of any player (in Vietnamese card | games)
5554	ddaauf cowz	đầu cơ	投機	to speculate
5555	ddaauf ddanf	đầu đàn	頭？	Biggest of a flock (herd), cock of the walk
5556	ddaauf ddangr	đầu đảng	頭黨	chieftain; ringleader
5557	ddaauf ddanj	đầu đạn	頭彈	(quân ddo^.i) Nose; waar | head
5558	ddaauf ddeef	đầu đề	頭題	heading; headline
5559	ddaauf ddoocj	đầu độc	投毒	to poison
5560	ddaauf ddownz	đầu đơn	投單	File an application (request, petition...)
5561	ddaauf gaf	đầu gà	頭𪃿	Leader (in a Vietnamese card | game, after a draw)
5562	ddaauf gios	đầu gió	頭𩙋	Wind | swept place
5563	ddaauf goois	đầu gối	頭？	Knee
5564	ddaauf hangf	đầu hàng	投降	Surrender, capitulate
5565	ddaauf hoomz	đầu hôm	頭𣋚	(địa phương) Nightfall
5566	ddaauf longf	đầu lòng	頭𢚸	Elder, eldest (child)
5567	ddaauf maaus	đầu mấu	頭？	xem đầu mặt
5568	ddaauf mawtj	đầu mặt	頭𩈘	cũng nói đầu mấu Knot, node
5569	ddaauf naauj	đầu nậu	頭？	(địa phương) (như) cai đầu | (cũ) Labour leader
5570	ddaauf naox	đầu não	頭腦	Nerve | centre
5571	ddaauf ocs	đầu óc	頭腛	Mind attitude of mind
5572	ddaauf oois	đầu ối	頭？	Amniotic fluid
5573	ddaauf phieeus	đầu phiếu	投票	to vote; to ballot
5574	ddaauf quaanz	đầu quân	投軍	(cũ)Go into the army, enlist
5575	ddaauf rauz	đầu rau	？蔞	Earthen tripod (for a cooking pot)
5576	ddaauf riuf	đầu rìu	頭？	Hoopoe(chim)
5577	ddaauf ruooif	đầu ruồi		Bead (of a rife | sight)
5578	ddaauf saiz	đầu sai	頭差	Factobum
5579	ddaauf sor	đầu sỏ	頭？	chieftain, ringleader
5580	ddaauf tayz	đầu tay	頭𢬣	First (work of act)
5581	ddaauf thaiz	đầu thai	投胎	Reincarnate
5582	ddaauf thus	đầu thú	投首	(cũ) Give oneself up (to the policẹ.)
